lat,lon,height_m
51.335092,-0.747111,3.81
51.281268,-0.723252,4.496
51.645517,-3.326753,3.277
52.968626907,-0.649475426,4.42
51.217529,0.959557,3.886
51.2255977181176,0.970442210387093,4.42
51.329057,1.356195,3.886
53.400683,-1.437546,4.343
53.057156,-1.482817,4.724
53.058925,-1.481848,3.886
53.0628642564389,-1.48317745918891,2.896
53.1120777505822,-1.54811441798472,4.343
53.135089,-1.556542,4.572
52.506471,-1.873799,4.572
52.525687,-1.842966,4.267
52.527857,-1.839991,3.962
52.545224363,-1.831470151,4.191
52.5614892131352,-1.82740168266917,3.759
52.5638619621084,-1.82623457021636,3.658
52.572382,-1.818317,4.572
52.575103,-1.821559,4.115
52.605223,-1.844832,4.267
52.656698,-1.837724,4.267
52.65999,-1.834098,4.496
52.671571645,-1.830558443,4.115
52.6747579123329,-1.8302356092484,4.191
52.67710806,-1.829303654,3.658
57.172876011671804,-2.13197922101479,3.734
57.178484,-2.169605,2.007
57.1858904,-2.180327146,4.42
57.2013500909511,-2.18935524684493,4.724
57.216777,-2.20121,4.115
57.275429,-2.366952,4.191
57.319538,-2.442165,4.42
57.3195859587972,-2.50691799945376,3.658
57.320359,-2.514409,4.648
57.441161,-2.780918,5.105
57.4452655912591,-2.77491246803687,4.191
57.501612,-2.78128,4.039
57.5092298696135,-2.79879329295585,3.353
57.634998,-3.247065,3.658
57.634603361,-3.241653114,3.962
57.6331515082153,-3.2220577505628,3.581
57.579928,-3.157407,4.572
57.55091,-3.13927,3.734
57.580417,-3.871361,3.81
57.513355,-4.10166,4.724
57.4918667230868,-4.15989490651627,3.962
51.5226213581973,-0.25207161807558,3.81
51.531175687395,-0.298463253441792,3.505
51.5328069861043,-0.307863054060829,4.801
51.53578,-0.31955,4.343
51.5369868591255,-0.324160182277923,4.724
51.5419310153781,-0.343230430741748,4.724
55.483883254,-4.574930303,4.42
55.490559,-4.536534,4.191
55.5131531454031,-4.43493834966679,3.962
55.509794,-4.384372,4.496
51.139663,0.878962,3.277
51.067375,0.853687,4.648
51.0644067459873,0.850726128927728,4.42
50.896145,0.615366,4.343
50.892079,0.613883,3.581
51.4640971153867,-0.129296343582789,4.343
51.4646730698239,-0.130642577347582,4.724
51.470468,-0.138946,4.724
51.4768334606395,-0.147152332301995,4.496
55.8509290334426,-4.26101583148128,3.81
55.8474273644049,-4.42825588794177,2.515
55.847182253,-4.43911929,4.648
55.846334311,-4.44430976,3.353
55.833316,-4.508143,4.267
55.832979,-4.51054,3.962
55.710858,-4.708063,3.81
55.6435373029997,-4.70184655803335,3.658
55.6137843122407,-4.67586285221448,4.039
55.561839,-4.651553,2.896
55.5466439234476,-4.6568956759337,4.724
55.5440202350003,-4.65657693726107,4.648
55.541879,-4.654289,4.039
55.501106,-4.614486,2.896
55.4949,-4.616751,2.286
55.459781,-4.624163,3.81
51.253361,-1.173256,3.607
51.255025,-1.255927,4.496
51.238634,-1.350562,3.429
51.240336,-1.371247,4.724
51.2208609031595,-1.45222430514881,3.886
51.2191330659081,-1.47314598088587,3.505
51.202944061,-1.531003723,3.81
51.1852466979209,-1.56169417483325,3.658
51.179203,-1.576678,3.734
51.1734056344794,-1.60393118527917,4.115
51.133565957,-1.713235746,3.429
51.1254310466795,-1.72608926901945,4.496
51.11987583,-1.733336434,3.429
51.114482,-1.740428,3.353
51.090445,-1.767029,3.734
51.08869027,-1.769621323,4.039
51.088515,-1.769899,4.039
51.07532,-1.797096,4.496
51.0742907794741,-1.79859089743612,2.667
51.070746,-1.803586,4.343
51.071518,-1.813282,3.353
51.072771,-1.817693,3.124
51.085175,-1.860288,4.267
51.0850229559459,-1.92657670255029,3.048
51.067766,-2.022501,3.505
51.064506767,-2.0704544,3.658
51.05904638,-2.08108074,3.124
51.041933,-2.165247,3.886
51.039533,-2.215989,3.81
51.0189186265556,-2.34833186457899,3.505
51.001948,-2.416007,3.962
50.9888471382888,-2.46171586794639,3.124
50.98673,-2.464181,3.505
50.9808951444633,-2.47159657657063,3.048
50.927722,-2.589225,3.962
50.9188296456292,-2.62044913077822,3.429
50.9038134574813,-2.63425931319933,3.658
50.900804176,-2.644503219,3.658
50.8713070699941,-2.75211607438515,3.886
50.8711943410983,-2.82506987257784,3.505
50.8612843022738,-2.83189136067851,2.743
50.848856,-2.884501,4.115
50.759249996,-3.055552971,4.191
50.7648683487088,-3.06958130851591,4.039
50.7675442681215,-3.0777587382766,3.886
50.8007379375692,-3.11706905333849,3.886
50.8044216248686,-3.17431838027414,4.496
50.796983,-3.186504,4.267
50.7894635600019,-3.21396742549386,4.267
50.7873970130843,-3.22769070093974,4.115
50.78232,-3.249292,4.572
50.767361,-3.356468,3.962
50.7651881553488,-3.36535775481293,3.81
50.7594555391372,-3.38860428228411,3.048
50.7386296742941,-3.4598723995225,3.353
50.7355594893774,-3.49211917651797,3.124
50.7336202727615,-3.50048046110368,3.962
52.428109,-1.926924,2.972
52.412805,-1.949088,2.972
52.4090003593313,-1.96363910316653,4.496
52.407135,-1.967544,3.734
52.403370557,-1.973410327,1.6
52.3768880502186,-1.9833672438826,3.429
52.364414,-1.989523,5.486
52.345898,-2.012156,3.734
52.3419472660396,-2.01838178491114,4.191
52.339873,-2.021408,3.581
52.334124,-2.029877,3.2
52.3309987733872,-2.03454283349042,4.115
52.3108694727582,-2.06088453397448,3.81
52.3029497665222,-2.07363778503296,3.886
52.2970268809048,-2.08491199641961,3.734
52.283610229,-2.095752718,3.277
52.251041466,-2.113340878,3.81
52.0960154644056,-2.13351761161775,3.658
51.9936287827625,-2.10874824338255,3.124
51.9231776190609,-2.0893125344336,3.886
51.8821392356676,-2.1594021642775,3.962
51.8646449689317,-2.21469074875723,4.877
51.8623742972949,-2.21998079240883,2.972
53.604652,-1.547362,4.42
53.586549,-1.528714,4.343
53.576602,-1.520286,4.42
53.561531631033,-1.48185427842461,3.658
53.555873,-1.477646,4.572
55.612175,-4.507921,3.581
55.6084803641412,-4.50841793097256,4.801
55.6013922522124,-4.52158611464361,2.972
51.516817018,-3.580190168,3.581
51.520325,-3.580282,3.581
51.5301328557489,-3.58304078069606,3.505
51.538172,-3.589232,4.039
51.5572711039486,-3.60034105299242,4.039
51.596497295,-3.642284584,3.505
51.605632,-3.648555,3.581
51.608423,-3.651204,3.886
53.581983,-2.419491,3.658
53.612151,-2.411678,4.267
53.627832,-2.409802,4.115
53.6924309567686,-2.46119054121475,3.429
53.697423,-2.463819,2.972
53.7007250038234,-2.46849650747615,3.962
53.702048,-2.469854,3.886
53.722719,-2.471926,2.667
53.734699,-2.490137,4.496
53.737874,-2.490702,4.42
50.7232562951266,-1.8975989596677,3.734
50.724428,-1.902145,3.277
50.72734,-1.915889,3.505
51.4369151971948,-0.111476927220709,4.648
51.436473307,-0.109225507,3.124
51.431098,-0.101581,4.496
51.43109779,-0.101581089,4.496
51.4264268926977,-0.0895527536229478,4.496
51.40395,-0.055442,4.496
51.409417,-0.043834,4.724
53.741997617283,-2.48987104603027,3.81
55.9860552285848,-4.57710227544663,4.801
55.9890719496373,-4.57776225055318,3.886
52.358968,-1.991128,4.115
52.359409569,-1.982219858,3.353
52.3564407183497,-1.9738680689021,4.039
52.3518066372583,-1.97181198764908,4.115
52.321672,-1.948108,4.039
52.309222,-1.945868,4.267
53.206097,-0.989279,4.648
53.3726795989398,-2.11309993544906,4.343
53.3603283952289,-2.03732722057858,3.353
53.360478,-2.030443,3.658
53.3590691389287,-2.02241276874747,3.505
53.329702,-1.984648,3.658
53.3199336972052,-1.97583840052872,4.343
53.262761,-1.909696,3.353
53.42255,-3.06912,4.496
53.4346319622753,-3.06526996581534,4.648
51.467468939,-0.018424605,4.572
51.4652917066191,-0.011181662823409,4.877
51.464538,0.099984,4.42
51.464501115,0.108840121,4.953
51.46455129,0.167631292,3.962
51.4643827510449,0.172600067910876,4.877
51.4642973884991,0.177417633592756,3.962
51.464123,0.187397,4.648
51.3501309439094,-2.31469951953798,4.191
52.0644320819841,1.11770585401488,4.42
52.062174796366,1.12497431744163,3.708
51.524529401,-0.057089087,4.648
51.5249448911805,-0.0565464114568017,4.953
51.525385936,-0.056357161,4.343
51.525801085462,-0.056263840610136,4.496
51.5293898332121,-0.0565109561363128,4.039
51.5311959906055,-0.0569954173301888,4.801
51.533496924234,-0.057794236260766,4.216
51.534447,-0.057951,4.572
51.5368505250935,-0.058138794352013,4.343
51.5373010838495,-0.0581633406987253,4.267
51.5373,-0.05817,4.267
51.537785187,-0.05820426,4.801
51.5387749756673,-0.0582276173367501,4.724
51.5389276622054,-0.0582236993938092,4.724
51.5408875620728,-0.0578244926197871,3.658
51.5419084274683,-0.057540331573063,4.572
51.542350633,-0.057650031,4.115
51.5444098362781,-0.0582863585739269,4.877
51.5457082723855,-0.0589158719762136,4.496
51.5474940022514,-0.0599210226566734,4.343
51.5481205495619,-0.0602907429627473,4.724
51.549101,-0.06084,4.801
51.566945,-0.051704,3.277
51.941284,0.222902,3.658
51.9482363887855,0.21766519418717,3.048
51.95855,0.217286,3.048
51.987617,0.214655,3.658
51.988775,0.213821,4.343
52.062711,0.189576,2.591
52.391393,0.267287,2.743
52.461452,0.316341,2.515
52.5622525631976,0.347716664569618,3.581
51.8538773816785,-2.22853274362356,4.953
51.8497714957055,-2.23363931412904,4.877
51.8344164929754,-2.25066210129715,4.343
51.8280144424883,-2.25408650389493,2.972
51.809556064623,-2.26226547653323,4.42
51.8018436641386,-2.26565959522317,4.115
51.720229045805,-2.33882544168375,3.581
51.7190770432893,-2.34486181917452,4.42
51.6833367274882,-2.41730003283086,4.343
51.6483759904027,-2.41409458836798,3.429
51.6427208587332,-2.41185713783681,3.658
51.6397351100583,-2.40909641177408,4.039
51.6259388746075,-2.39758320554581,2.21
51.6085617866928,-2.39334528889954,3.734
51.602990851387,-2.39544446818629,3.734
51.4392173475043,-1.00241110747455,4.115
51.3966405861096,-1.28511085362371,3.404
51.4153260410479,-1.515399840928,4.724
51.415317124384,-1.51875302968174,3.429
51.4149994761927,-1.52072648450554,3.429
51.4138205999115,-1.52688991607012,3.734
51.3550445264187,-1.73731934322774,3.886
51.3543478925629,-1.73945237654093,3.886
51.3451918858936,-1.7620507558186,1.905
51.3453756328626,-1.76231855691879,3.048
51.3428808357822,-1.76886068865872,4.039
51.3425815242012,-1.76971320788279,4.496
51.3380985092193,-1.78258307951595,4.648
51.5899771658454,-3.12142439551131,3.81
51.5939156115022,-3.12764561140486,2.21
52.583106,-1.986439,3.2
52.658255,-1.912843,4.191
52.6632274950732,-1.88951671384271,3.962
52.6742229237583,-1.83374214808038,3.505
52.6755,-1.831163,4.496
52.679488,-1.826739,4.267
52.6793805722669,-1.82664553736244,4.267
51.401024,-1.006163,3.886
51.3195353771478,-1.05551604272338,2.896
51.314466308,-1.055422304,4.42
51.306818122379,-1.05533413383292,4.267
51.303858865,-1.055549333,3.658
51.268862554897,-1.08575425850762,2.591
53.350349,-1.220701,4.42
53.3528275516495,-1.22654145656336,4.267
53.3988210983368,-1.20597845328831,4.724
53.43052992,-1.165821443,4.267
